6921.11	0.2488
6921.68	0.1006
6922.06	0.0928
6922.42	-0.0269
6922.99	0.3096
6923.35	0.5484
6923.73	0.5011
6924.05	0.3592
6924.35	0.3365
6924.67	0.3289
6924.98	0.4548
6925.3	0.5187
6925.6	0.5135
6925.92	0.396
6926.23	0.4761
6926.53	0.9416
6926.93	0.8656
6927.26	0.3445
6927.56	0.3984
6927.87	0.3365
6928.17	0.2695
6928.48	0.225
6928.79	0.3946
6929.09	0.4313
6929.42	0.4626
6929.72	0.3999
6930.02	0.5195
6930.33	1.0793
6930.63	1.6735
6930.95	1.9301
6931.25	1.6474
6931.58	0.6236
6931.88	0.5311
6932.19	0.5337
6932.51	0.5042
6932.82	0.4108
6933.12	0.4723
6933.44	0.5481
6933.74	0.4793
6934.07	0.3722
6934.38	0.3441
6934.68	0.3441
6934.98	0.188
6935.31	0.461
6935.61	0.456
6935.92	0.4092
6936.22	0.3086
6936.52	0.3208
6936.84	0.3843
6937.14	0.2905
6937.47	0.228
6937.77	0.2746
6938.08	0.3448
6938.4	0.6344
6938.71	0.7969
6939.01	0.4389
6939.33	0.2996
6939.64	-0.0295
6939.94	0.31
6940.24	0.4124
6940.56	0.949
6940.87	1.0209
6941.17	0.7628
6941.49	0.4396
6941.79	0.6755
6942.1	0.6831
6942.4	0.0144
6942.71	0.6724
6943.02	0.4862
6943.33	0.2912
6943.65	0.3211
6943.95	0.4876
6944.26	0.4592
6944.56	0.7477
6944.87	0.4837
6945.18	0.4486
6945.48	0.3368
6945.81	0.8882
6946.11	0.6013
6946.42	0.5727
6946.72	0.4825
6947.04	0.6528
6947.37	0.6986
6947.69	0.4361
6947.99	0.4255
6948.3	0.3946
6948.62	0.513
6948.92	0.5533
6949.23	0.5717
6949.56	0.3291
6949.86	0.4731
6950.17	0.5368
6950.48	0.5159
6950.78	0.3596
6951.09	0.2139
6951.39	0.1974
6951.72	0.7509
6952.02	0.731
6952.33	0.6694
6952.65	0.5822
6952.97	0.5519
6953.27	0.4945
6953.59	0.149
6953.89	0.4833
6954.2	0.4624
6954.5	0.48
6954.81	0.1598
6955.12	0.302
6955.42	0.4043
6955.75	0.3399
6956.05	0.4507
6956.37	0.5656
6956.68	0.647
6956.99	0.406
6957.3	0.3276
6957.62	0.3874
6957.92	0.4066
6958.23	0.3951
6958.53	0.4309
6958.84	0.4475
6959.16	0.4664
6959.47	0.456
6959.77	0.3222
6960.08	0.3614
6960.38	0.5876
6960.7	0.477
6961	0.3355
6961.32	0.3648
6961.62	0.5801
6961.93	0.2966
6962.24	0.5327
6962.54	0.4679
6962.84	0.4085
6963.16	0.4774
6963.47	0.4962
6963.77	0.4741
6964.09	0.4304
6964.39	0.455
6964.7	0.3304
6965	0.6117
6965.31	0.5621
6965.62	0.5146
6965.92	0.4906
6966.25	0.3511
6966.55	0.2502
6966.86	0.6078
6967.16	0.4315
6967.47	0.3775
6967.78	0.4195
6968.08	0.3833
6968.41	0.5205
6968.71	0.365
6969.01	0.3728
6969.33	0.3728
6969.64	0.5192
6969.94	0.5371
6970.27	0.5613
6970.57	0.4917
6970.88	0.5869
6971.17	0.5648
6971.48	0.5196
6971.81	0.6002
6972.14	0.5947
6972.44	0.4003
6972.74	0.4445
6973.04	0.5294
6973.36	0.3937
6973.67	0.5082
6973.97	0.458
6974.29	0.4387
6974.59	0.4584
6974.93	0.4099
6975.23	0.4992
6975.54	0.5331
6975.85	0.4929
6976.17	0.4898
6976.48	0.3883
6976.77	0.4872
6977.08	0.5069
6977.39	0.4573
6977.7	0.4528
6978.01	0.4339
6978.33	0.4936
6978.63	0.5066
6978.95	0.5903
6979.27	0.5134
6979.58	0.399
6979.88	0.28
6980.2	0.3788
6980.5	0.5786
6980.81	0.3925
6981.12	0.3479
6981.42	0.4792
6981.73	0.5915
6982.03	0.4383
6982.36	0.4523
6982.66	0.5184
6982.97	0.5466
6983.32	-0.3229
6983.91	-0.4302
6984.24	0.3341
6984.54	0.3512
6984.84	0.4256
6985.15	0.352
6985.46	0.2799
6985.77	0.1851
6986.08	0.3227
6986.4	0.2539
6986.7	0.2264
6987.01	0.1698
6987.33	0.2426
6987.64	0.2842
6987.94	0.4702
6988.27	0.2407
6988.57	0.3346
6988.88	0.4052
6989.17	0.5399
6989.49	0.527
6989.8	0.3145
6990.11	0.3077
6990.43	0.3799
6990.73	0.2444
6991.03	0.2405
6991.34	0.1241
6991.64	0.3512
6991.96	0.7152
6992.26	0.5373
6992.59	0.2631
6992.89	0.2882
6993.21	0.2819
6993.52	0.3798
6993.85	0.8134
6994.18	0.6211
6994.48	0.3242
6994.8	0.1902
6995.12	0.0606
6995.43	0.3484
6995.73	0.5881
6996.05	0.2242
6996.36	0.2996
6996.66	0.4306
6996.97	0.3562
6997.27	0.1487
6997.58	0.1713
6997.88	0.3044
6998.22	0.3931
6998.52	0.3316
6998.83	0.4021
6999.12	0.2646
6999.43	0.3056
6999.75	0.3478
7000.05	0.4305
7000.38	0.2963
7000.67	0.1823
7000.98	0.4345
7001.28	0.0981
7001.59	0.2858
7001.91	0.3037
7002.21	0.3607
7002.54	0.3008
7002.85	0.3788
7003.15	0.3832
7003.47	0.2684
7003.77	0.3083
7004.08	0.7737
7004.4	0.6631
7004.71	0.4265
7005.02	0.4903
7005.33	0.5023
7005.64	0.6249
7005.95	0.5934
7006.27	0.4857
7006.58	0.4564
7006.88	0.5424
7007.18	0.3948
7007.48	0.2721
7007.8	0.3062
7008.11	0.4268
7008.43	0.505
7008.73	0.3529
7009.03	0.4131
7009.34	0.3329
