6062.217000		0.193000
6064.500000		0.195000
6066.800000		0.198000
6069.083000		0.190000
6071.633000		0.198000
6073.633000		0.190000
6075.933000		0.208000
6078.233000		0.195000
6080.533000		0.200000
6082.850000		0.212000
6085.133000		0.200000
6087.433000		0.200000
6089.717000		0.193000
6092.017000		0.198000
6094.300000		0.210000
6096.567000		0.212000
6098.867000		0.212000
6101.150000		0.217000
6103.433000		0.217000
6106.250000		0.212000
6108.517000		0.227000
6110.800000		0.237000
6113.083000		0.261000
6115.400000		0.300000
6117.683000		0.308000
6120.333000		0.273000
6122.683000		0.242000
6124.983000		0.242000
6127.300000		0.242000
6129.583000		0.242000
6131.850000		0.249000
6134.150000		0.249000
6136.467000		0.251000
6138.767000		0.251000
6141.067000		0.242000
6143.383000		0.242000
6145.700000		0.249000
6147.983000		0.261000
6150.267000		0.266000
6152.567000		0.273000
6154.867000		0.276000
6157.167000		0.278000
6159.467000		0.293000
6161.767000		0.281000
6164.083000		0.283000
6166.383000		0.288000
6168.667000		0.305000
6170.967000		0.310000
6173.283000		0.310000
6175.583000		0.322000
6177.900000		0.334000
6180.183000		0.334000
6182.483000		0.369000
6184.767000		0.374000
6187.117000		0.371000
6189.417000		0.374000
6191.717000		0.393000
6194.017000		0.403000
6196.333000		0.408000
6199.067000		0.430000
6201.383000		0.469000
6203.700000		0.464000
6206.467000		0.483000
6208.850000		0.505000
6211.183000		0.505000
6213.817000		0.557000
6216.250000		0.571000
6218.550000		0.591000
6220.900000		0.625000
6223.217000		0.623000
6226.017000		0.654000
6228.367000		0.698000
6230.700000		0.723000
6233.033000		0.742000
6235.850000		0.793000
6238.167000		0.830000
6240.517000		0.840000
6243.350000		0.901000
6245.717000		0.920000
6248.617000		0.977000
6250.933000		1.006000
6253.283000		1.050000
6256.200000		1.150000
6258.550000		1.147000
6261.517000		1.208000
6263.867000		1.274000
6266.833000		1.357000
6269.183000		1.367000
6272.033000		1.426000
6274.367000		1.516000
6277.067000		1.550000
6279.533000		1.609000
6281.900000		1.631000
6284.783000		1.721000
6287.133000		1.758000
6289.483000		1.836000
6291.800000		1.870000
6294.517000		1.885000
6297.017000		1.946000
6299.333000		2.048000
6301.983000		2.048000
6304.517000		2.090000
6307.533000		2.202000
6309.900000		2.178000
6312.650000		2.224000
6315.250000		2.344000
6317.600000		2.363000
6319.983000		2.393000
6322.367000		2.363000
6324.733000		2.444000
6327.100000		2.485000
6330.117000		2.520000
6332.483000		2.515000
6334.867000		2.568000
6337.250000		2.612000
6339.617000		2.651000
6342.383000		2.593000
6344.717000		2.690000
6347.067000		2.715000
6349.417000		2.732000
6351.750000		2.795000
6354.100000		2.815000
6356.450000		2.830000
6358.767000		2.852000
6361.100000		2.896000
6363.433000		2.866000
6365.767000		2.961000
6368.067000		2.993000
6370.433000		3.022000
6372.733000		3.003000
6375.550000		2.944000
6377.883000		3.062000
6380.217000		3.091000
6382.550000		3.003000
6384.900000		3.132000
6387.250000		3.101000
6389.600000		3.132000
6391.933000		3.125000
6394.283000		3.096000
6396.600000		3.103000
6398.950000		3.066000
6401.267000		3.123000
6403.633000		3.176000
6406.450000		3.176000
6408.967000		3.101000
6411.300000		3.152000
6413.633000		3.098000
6415.983000		3.164000
6418.333000		3.145000
6420.717000		3.162000
6423.050000		3.110000
6425.400000		3.054000
6427.733000		3.083000
6430.067000		3.118000
6432.417000		3.049000
6434.767000		3.049000
6437.150000		3.030000
6439.483000		3.025000
6441.833000		3.015000
6444.183000		3.003000
6446.517000		2.981000
6448.867000		2.961000
6451.233000		2.900000
6453.567000		2.869000
6455.933000		2.803000
6458.283000		2.812000
6460.633000		2.732000
6462.967000		2.725000
6465.317000		2.664000
6467.683000		2.698000
6470.033000		2.590000
6472.383000		2.539000
6474.700000		2.534000
6477.100000		2.473000
6479.467000		2.385000
6481.800000		2.332000
6484.167000		2.310000
6486.517000		2.283000
6488.867000		2.185000
6491.217000		2.153000
6493.533000		2.087000
6495.900000		2.012000
6498.217000		1.924000
6500.583000		1.919000
6502.917000		1.833000
6505.883000		1.787000
6508.200000		1.724000
6510.567000		1.670000
6512.900000		1.614000
6515.267000		1.582000
6517.600000		1.555000
6519.983000		1.487000
6522.350000		1.423000
6524.733000		1.409000
6527.100000		1.328000
6529.433000		1.294000
6531.783000		1.277000
6534.133000		1.260000
6536.500000		1.179000
6538.867000		1.179000
6541.200000		1.138000
6543.550000		1.089000
6545.900000		0.891000
6548.250000		1.118000
6550.600000		0.837000
6552.983000		0.955000
6555.350000		0.854000
6557.683000		0.911000
6560.050000		0.754000
6562.417000		0.823000
6564.767000		0.808000
6567.117000		0.684000
6569.450000		0.681000
6571.817000		0.637000
6574.183000		0.767000
6576.533000		0.493000
6578.900000		0.757000
6581.250000		0.632000
6583.567000		0.493000
6585.933000		0.686000
6588.283000		0.442000
6590.650000		0.625000
6592.983000		0.503000
6595.367000		0.569000
6597.733000		0.508000
6600.100000		0.486000
6602.467000		0.583000
6605.150000		0.420000
6607.617000		0.508000
6609.933000		0.476000
6612.283000		0.432000
6614.583000		0.359000
6616.900000		0.286000
6619.217000		0.325000
6621.550000		0.283000
6623.883000		0.325000
6626.217000		0.322000
6628.533000		0.293000
6630.867000		0.303000
6633.183000		0.278000
6635.533000		0.278000
6637.850000		0.264000
6640.167000		0.305000
6642.517000		0.261000
6644.833000		0.264000
6647.200000		0.276000
6649.500000		0.259000
6651.867000		0.261000
6654.200000		0.264000
6656.533000		0.264000
6658.867000		0.251000
6661.200000		0.249000
6663.533000		0.254000
6665.850000		0.254000
