1.161755e+02 2.453300e-01
1.163655e+02 2.332400e-01
1.165555e+02 2.310200e-01
1.169655e+02 2.289500e-01
1.173355e+02 2.328700e-01
1.177155e+02 2.223400e-01
1.180955e+02 2.340500e-01
1.184755e+02 2.253800e-01
1.188555e+02 2.075700e-01
1.192355e+02 2.076500e-01
1.196355e+02 2.144700e-01
1.200155e+02 2.101000e-01
1.203955e+02 2.156000e-01
1.207755e+02 2.110600e-01
1.211555e+02 2.105500e-01
1.215255e+02 2.077300e-01
1.219355e+02 2.181200e-01
1.223155e+02 2.235200e-01
1.226855e+02 2.235200e-01
1.230655e+02 2.087700e-01
1.232555e+02 2.151400e-01
1.234455e+02 2.210800e-01
1.238255e+02 2.302800e-01
1.242055e+02 2.287300e-01
1.246055e+02 2.301300e-01
1.249855e+02 2.345100e-01
1.253655e+02 2.257500e-01
1.257455e+02 2.250200e-01
1.261155e+02 2.411900e-01
1.264955e+02 2.298300e-01
1.268755e+02 2.385100e-01
1.272755e+02 2.365800e-01
1.276555e+02 2.300500e-01
1.280355e+02 2.124800e-01
1.284155e+02 2.274700e-01
1.287955e+02 2.412500e-01
1.291655e+02 2.256700e-01
1.295755e+02 2.256700e-01
1.299455e+02 2.348000e-01
1.301355e+02 2.228500e-01
1.303255e+02 2.358500e-01
1.307055e+02 2.239800e-01
1.310855e+02 2.355500e-01
1.314655e+02 2.209400e-01
1.318455e+02 2.190100e-01
1.322155e+02 2.284300e-01
1.326255e+02 2.290900e-01
1.329955e+02 2.233800e-01
1.333755e+02 2.305800e-01
1.337555e+02 2.317600e-01
1.341355e+02 2.311700e-01
1.345155e+02 2.354700e-01
1.348855e+02 2.331700e-01
1.352955e+02 2.138100e-01
1.356655e+02 2.188500e-01
1.360455e+02 2.182600e-01
1.364255e+02 2.182600e-01
1.368055e+02 2.183400e-01
1.369955e+02 2.057200e-01
1.371855e+02 2.098800e-01
1.375855e+02 2.029000e-01
1.379555e+02 2.159700e-01
1.383355e+02 2.208600e-01
1.387155e+02 2.153600e-01
1.390955e+02 2.122500e-01
1.394755e+02 2.106300e-01
1.398455e+02 2.016600e-01
1.402255e+02 2.147100e-01
1.406255e+02 1.931200e-01
1.410055e+02 1.984600e-01
1.413855e+02 1.933400e-01
1.417655e+02 2.041000e-01
1.421355e+02 2.063300e-01
1.425155e+02 2.105500e-01
1.428955e+02 1.938700e-01
1.432955e+02 1.938700e-01
1.436755e+02 2.106900e-01
1.440455e+02 2.193800e-01
1.442355e+02 2.201900e-01
1.444255e+02 2.039500e-01
1.448055e+02 2.121100e-01
1.451855e+02 2.093700e-01
1.455555e+02 2.086200e-01
1.459355e+02 2.196000e-01
1.463355e+02 2.106900e-01
1.467155e+02 2.109200e-01
1.470955e+02 2.051300e-01
1.474755e+02 2.199700e-01
1.478455e+02 2.100400e-01
1.482255e+02 2.144700e-01
1.486055e+02 2.209400e-01
1.490055e+02 2.175900e-01
1.493855e+02 2.190100e-01
1.497555e+02 2.237600e-01
1.501355e+02 2.237600e-01
1.505155e+02 2.212300e-01
1.508855e+02 2.230100e-01
1.510755e+02 2.190900e-01
1.512655e+02 2.135900e-01
1.516455e+02 2.039500e-01
1.520455e+02 2.070600e-01
1.524255e+02 2.061700e-01
1.527955e+02 1.936300e-01
1.531755e+02 1.902200e-01
1.535555e+02 1.849600e-01
1.539255e+02 1.937900e-01
1.543055e+02 1.814700e-01
1.546855e+02 1.825900e-01
1.550855e+02 1.908100e-01
1.554655e+02 2.006900e-01
1.558355e+02 2.173700e-01
1.562155e+02 1.997900e-01
1.565955e+02 2.106900e-01
1.569655e+02 2.106900e-01
1.573455e+02 2.085400e-01
1.577255e+02 2.147100e-01
1.579155e+02 2.060900e-01
1.581255e+02 2.279000e-01
1.585055e+02 2.402200e-01
1.588755e+02 2.476400e-01
1.592555e+02 2.331700e-01
1.596355e+02 2.247100e-01
1.600055e+02 2.238200e-01
1.603855e+02 2.353900e-01
1.607655e+02 2.193800e-01
1.611655e+02 2.152200e-01
1.615355e+02 2.101000e-01
1.619155e+02 2.316100e-01
1.622955e+02 2.264200e-01
1.626655e+02 2.334600e-01
1.630455e+02 2.428900e-01
1.634255e+02 2.545400e-01
1.637955e+02 2.545400e-01
1.641755e+02 2.484500e-01
1.645755e+02 2.448200e-01
1.649555e+02 2.276100e-01
1.651355e+02 2.396900e-01
1.653255e+02 2.319000e-01
1.657055e+02 2.408100e-01
1.660855e+02 2.286500e-01
1.664555e+02 2.467500e-01
1.668355e+02 2.305800e-01
1.672055e+02 2.406600e-01
1.676055e+02 2.593500e-01
1.679855e+02 2.540100e-01
1.683655e+02 2.586800e-01
1.687355e+02 2.563900e-01
1.691155e+02 2.668400e-01
1.694955e+02 2.664100e-01
1.698655e+02 2.698200e-01
1.702455e+02 2.581700e-01
1.706155e+02 2.581700e-01
1.710155e+02 2.530600e-01
1.713955e+02 2.616600e-01
1.717755e+02 2.745500e-01
1.719655e+02 2.751600e-01
1.721455e+02 2.748600e-01
1.725255e+02 2.850200e-01
1.729055e+02 2.908800e-01
1.732755e+02 2.902800e-01
1.736555e+02 3.012700e-01
1.740255e+02 3.186200e-01
1.744255e+02 3.132800e-01
1.748055e+02 3.272200e-01
1.751855e+02 3.240400e-01
1.755555e+02 3.159500e-01
1.759355e+02 3.033400e-01
1.763055e+02 2.957700e-01
1.766855e+02 2.882800e-01
1.770655e+02 3.166900e-01
1.774355e+02 3.166900e-01
1.778355e+02 3.254400e-01
1.782155e+02 3.424300e-01
1.785855e+02 3.508100e-01
1.787755e+02 3.525900e-01
