# nanotube RBM modes
# 22/7/2007
,1.89RBM,1.90RBM,1.91RBM,1.92RBM,1.93RBM
125.2566,0.26426,0.28273000000000004,0.25838029743589735,0.172545810526316,0.2282604315789472
125.4366,0.25803,0.28722999999999993,0.25758365945945944,0.17689,0.22561341315789474
125.6166,0.27809,0.2939842222222228,0.2594225783783784,0.17689,0.22526762368421052
125.9866,0.26996,0.3129876324324325,0.2620746702702702,0.17281626315789478,0.2355567216216214
126.3466,0.28147,0.30309493333333315,0.25695661052631596,0.17314513333333317,0.2342813263157897
126.7166,0.30322,0.31533,0.2488756297297298,0.1785655052631579,0.23488038947368411
127.0766,0.28886,0.32456801081081066,0.24654096756756755,0.17898096216216217,0.2375396925
127.4366,0.30343,0.32876242222222174,0.24703,0.18251383999999995,0.23381162368421052
127.8066,0.30142,0.2898969081081083,0.2629567810810811,0.18316757837837844,0.22306361315789494
128.1666,0.29456,0.30266229999999916,0.2849167789473679,0.1816259578947365,0.21765154999999908
128.5366,0.2897,0.31403422702702705,0.2691178648648653,0.1839065081081084,0.23186146842105212
128.8966,0.282,0.3156459333333334,0.2645242783783784,0.1799876421052631,0.23699287027027022
129.2666,0.28981,0.319416572972972,0.2655636550000002,0.1836791783783783,0.22567
129.6266,0.26478,0.30551,0.2712536783783784,0.17714484210526343,0.2269309270270268
129.9966,0.28801,0.307377010526316,0.2796159027027027,0.17511023783783738,0.23158607894736896
130.3566,0.27745,0.3239540210526312,0.27445965945946077,0.19580873684210637,0.2348785342105269
130.7266,0.28611,0.3268919567567565,0.2610767972972968,0.17954556923076964,0.22462243947368393
131.0866,0.29445,0.3395962666666664,0.26288498108108116,0.16976595789473675,0.23550770789473655
131.4566,0.29445,0.30789942702702594,0.251211724324324,0.1664749052631577,0.22128218157894672
131.8166,0.2859,0.29107595555555565,0.2458279810810811,0.17297614054054058,0.21915678157894736
131.9966,0.26658,0.30113595555555567,0.24544365675675675,0.17032359999999983,0.22285692432432463
132.1766,0.28347,0.3095474702702701,0.24742698918918937,0.16721623157894702,0.22743962702702744
132.5466,0.26457,0.2770712444444445,0.2527784486486485,0.16665,0.22896299024390246
132.9066,0.29551,0.28563112432432425,0.248619381081081,0.16879402105263164,0.22475194324324316
133.2766,0.26605,0.27919995555555555,0.2482206500000003,0.16792453333333296,0.22870610526315813
133.6366,0.25856,0.2775025405405402,0.2424077512820503,0.1779556210526315,0.23139078421052625
134.0066,0.26289,0.28300063783783785,0.25946,0.17834982702702704,0.23137013421052632
134.3666,0.24926,0.2820363333333331,0.2580211324324322,0.16999407999999977,0.23378507894736844
134.7366,0.2726,0.2750250810810811,0.24247279473684238,0.17900632432432473,0.23409559459459456
135.0966,0.27186,0.27713079999999973,0.2372482081081082,0.17609890526315805,0.22320196097561026
135.4566,0.26658,0.2833353405405404,0.23441459459459463,0.16298815135135106,0.21600444324324328
135.8266,0.27017,0.278792733333333,0.23160084594594624,0.16671355789473738,0.21859987105263157
136.1866,0.26341,0.26765,0.23589165675675683,0.16890600000000006,0.21826
136.5566,0.24399,0.26764816666666663,0.24629030540540556,0.1648875789473684,0.2182876
136.9166,0.24356,0.26708307368421075,0.23081154594594655,0.16868821621621594,0.21096062105263194
137.2766,0.24842,0.26543768888888886,0.22926433783783784,0.16834954594594603,0.20829030499999984
137.6466,0.24831,0.26937534054054074,0.23876898157894746,0.16405133684210527,0.20505831621621656
138.0066,0.24831,0.2736746444444444,0.2280667000000005,0.16592066999999994,0.21662757631578936
138.3766,0.24504,0.2793554461538463,0.23297269230769233,0.16981118918918892,0.22026513157894737
138.5566,0.24399,0.27452434594594544,0.23083829189189164,0.17343551351351333,0.21765986842105248
138.7366,0.25222,0.2682438054054047,0.2258566702702699,0.17208675675675664,0.21518731315789458
139.1066,0.25454,0.26620000000000005,0.22990217837837806,0.16645,0.2122026789473684
139.4666,0.25866,0.2561234378378381,0.22973275945945948,0.16391754594594612,0.2106679421052632
139.8266,0.24726,0.2700196333333342,0.2288219837837838,0.15370751578947278,0.2021181972972967
140.1966,0.26267,0.26374797837837854,0.22433707567567573,0.15256217297297314,0.21371751315789408
140.5566,0.24652,0.2644327666666666,0.21991675135135122,0.14738111578947335,0.19683887749999943
140.9266,0.24483,0.2757028216216222,0.21879,0.13977121081081073,0.19735124736842105
141.2866,0.2688,0.27095965555555573,0.21000884054054078,0.15571058,0.19467254736842127
141.6466,0.25919,0.26536859459459455,0.19480052222222277,0.15398201081081042,0.200733252631579
142.0166,0.26088,0.2707935675675676,0.21090138648648651,0.14210122105263176,0.20561338648648653
142.3766,0.27893,0.2569480000000001,0.20452717837837833,0.14766227368421053,0.20900747894736832
142.7466,0.25486,0.26489971891891895,0.1998590108108108,0.13451809729729722,0.20040592631578943
143.1066,0.24863,0.26646,0.19996845675675673,0.15614819459459348,0.19387
143.4666,0.26067,0.2618424648648647,0.20476433500000002,0.12901786315789476,0.20144342631578935
143.8366,0.25286,0.24875453333333325,0.20647281621621622,0.14526076756756762,0.21447367297297304
144.1966,0.25497,0.25148005405405377,0.21308670810810723,0.15972995789473643,0.22002416315789466
144.5666,0.25497,0.25516215555555555,0.22295689189189188,0.14185461621621684,0.20697993684210517
144.9266,0.25317,0.24636492972972945,0.2161389540540532,0.14282862702702703,0.2112368052631578
145.1066,0.26109,0.24306123333333357,0.20806814324324346,0.14703871999999935,0.20993891052631583
145.2866,0.24367,0.24074623333333356,0.21082542702702703,0.15200671999999946,0.20916506756756756
145.6566,0.25539,0.22551499459459434,0.2132286972972973,0.15457852631578953,0.21154125789473693
146.0166,0.2499,0.2368794162162171,0.2148747945945949,0.15432,0.21779349749999954
146.3766,0.24853,0.2333134222222224,0.21466674324324378,0.16024562162162154,0.21071487631578947
146.7466,0.25475,0.2359499692307693,0.20570849729729704,0.16319273684210528,0.21044613421052616
147.1066,0.2575,0.23914359999999987,0.2129146108108106,0.15753421052631547,0.20556348421052625
147.4766,0.25148,0.23765200000000014,0.21579,0.16841119999999996,0.21994047837837893
147.8366,0.25169,0.2331978594594593,0.21294292162162143,0.1687683789473683,0.2102788567567563
